YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1923,9.20,12.00,13.50,12.50,15.40,20.70,22.00,23.10,20.40,18.50,12.70,9.99,10.53,13.80,21.93,17.20,15.87
1924,10.89,8.99,12.99,14.89,17.19,19.99,21.39,20.79,19.19,17.19,13.09,11.89,9.96,15.02,20.72,16.49,15.55
1925,10.79,11.49,10.99,13.19,15.29,19.29,20.59,21.99,20.69,17.99,12.39,12.98,11.39,13.16,20.62,17.02,15.55
1926,11.68,13.78,14.18,13.98,15.38,18.88,22.38,23.88,23.88,19.18,13.88,10.08,12.81,14.51,21.71,18.98,17.01
1927,11.08,11.28,999.90,15.38,17.58,20.38,19.78,21.28,19.08,18.08,12.98,11.67,10.81,15.60,20.48,16.71,15.90
1928,10.17,11.97,12.37,12.97,14.47,19.27,23.97,21.67,20.77,17.07,12.47,9.77,11.27,13.27,21.64,16.77,15.74
1929,9.67,11.67,13.77,15.27,15.07,19.77,21.37,22.17,20.87,17.77,13.97,12.97,10.37,14.70,21.10,17.54,15.93
1930,10.87,9.37,13.17,12.37,16.37,17.97,20.87,22.97,20.87,18.07,14.87,12.16,11.07,13.97,20.60,17.94,15.90
1931,10.46,10.96,13.56,14.56,15.26,19.46,20.26,20.26,19.66,17.16,14.16,9.36,11.19,14.46,19.99,16.99,15.66
1932,9.86,9.16,12.76,12.56,15.26,18.16,20.46,22.26,20.36,16.26,13.76,11.45,9.46,13.53,20.29,16.79,15.02
1933,9.45,10.05,12.75,15.55,18.45,18.15,22.05,22.65,19.15,16.25,11.65,8.05,10.32,15.58,20.95,15.68,15.63
1934,9.05,9.25,10.75,11.85,16.65,19.05,21.05,19.95,19.75,18.15,10.85,13.05,8.78,13.08,20.02,16.25,14.53
1935,8.35,10.05,13.25,13.45,13.85,17.65,21.05,21.35,19.85,15.95,12.75,12.14,10.48,13.52,20.02,16.18,15.05
